species,eventDate,decimalLongitude,decimalLatitude
Bathylagus antarcticus,1985-01-25,87.966,-64.966
Bathylagus antarcticus,1985-01-25,74.73,-66.5583
Bathylagus antarcticus,1985-01-25,87.96667,-64.965
Bathylagus antarcticus,1985-01-25,74.73,-66.5567
Bathylagus antarcticus,1985-01-26,92.9733,-63.9883
Bathylagus antarcticus,1985-01-26,93.0017,-61.9967
Bathylagus antarcticus,1985-01-26,92.97333,-63.98833
Bathylagus antarcticus,1985-01-26,93.00167,-61.99667
Bathylagus antarcticus,1985-01-27,72.445,-66.5817
Bathylagus antarcticus,1985-01-27,-17.62833,-72.425
Bathylagus antarcticus,1985-01-27,-17.55667,-72.41833
Bathylagus antarcticus,1985-01-27,-17.5567,-72.4183
Bathylagus antarcticus,1985-01-27,-17.6283,-72.425
Bathylagus antarcticus,1985-01-28,70.7267,-63.9917
Bathylagus antarcticus,1985-01-30,77.495,-62.9883
Bathylagus antarcticus,1985-01-31,73.1217,-63.0633
Bathylagus antarcticus,1985-02-01,131.34,-49.8433
Bathylagus antarcticus,1985-02-01,68.3,-63.017
Bathylagus antarcticus,1985-02-01,68.517,-62
Bathylagus antarcticus,1985-02-01,73.317,-61.05
Bathylagus antarcticus,1985-02-02,68.3,-63.0233
Bathylagus antarcticus,1985-02-03,68.5667,-61.9983
Bathylagus antarcticus,1985-02-04,38.3183,-68.3417
Bathylagus antarcticus,1985-02-04,75.0717,-62.0167
Bathylagus antarcticus,1985-02-04,75.07,-62.0167
Bathylagus antarcticus,1985-02-05,73.3183,-61.0533
Bathylagus antarcticus,1985-02-05,30.62,-68.5233
Bathylagus antarcticus,1985-02-05,77.5567,-60.9667
Bathylagus antarcticus,1985-02-07,68.3183,-61.03
Bathylagus antarcticus,1985-02-24,34.6933,-65.055
Bathylagus antarcticus,1985-02-26,45.16,-64.935
Bathylagus antarcticus,1985-03-03,52.985,-60.9933
Bathylagus antarcticus,1985-03-03,52.98472,-60.9925
Bathylagus antarcticus,1985-03-04,45.1633,-56.3117
Bathylagus antarcticus,1985-03-07,62.06583,-66.33945
Bathylagus antarcticus,1985-03-07,62.0667,-66.34
Bathylagus antarcticus,1985-03-07,62.06667,-66.34
Bathylagus antarcticus,1985-10-08,60.10333,-59.31833
Bathylagus antarcticus,1985-10-09,60.02333,-61.26667
Bathylagus antarcticus,1985-10-10,59.93333,-62.445
Bathylagus antarcticus,1985-10-13,62.61667,-62.76167
Bathylagus antarcticus,1985-10-14,63.02,-63.06333
Bathylagus antarcticus,1985-10-15,62.93833,-63.38833
Bathylagus antarcticus,1985-10-16,62.93833,-63.38833
Bathylagus antarcticus,1985-10-20,62.56167,-61.47167
Bathylagus antarcticus,1987-03-07,78.0317,-68.01
Bathylagus antarcticus,1987-03-09,67.9733,-65.9633
Bathylagus antarcticus,1987-03-09,67.93833,-65.94833
Bathylagus antarcticus,1987-03-09,67.97333,-65.96333
Bathylagus antarcticus,1987-03-16,78.0133,-61.84
Bathylagus antarcticus,1987-03-17,78.01333,-61.84
Bathylagus antarcticus,1987-03-19,73.0433,-66.0867
Bathylagus antarcticus,1987-03-19,73.04333,-66.08667
Bathylagus antarcticus,1987-03-20,77.9617,-66.0117
Bathylagus antarcticus,1987-03-20,77.96167,-66.01167
Bathylagus antarcticus,1987-03-23,87.9733,-64.345
Bathylagus antarcticus,1987-03-23,87.97333,-64.345
Bathylagus antarcticus,1987-12-07,-61.902,-63.09033
Bathylagus antarcticus,1987-12-07,-61.902,-63.0903
Bathylagus antarcticus,1987-12-09,-57.98333,-62.28333
Bathylagus antarcticus,1987-12-09,-57.9853,-62.2913
Bathylagus antarcticus,1988-11-15,-51.83333,-59.61667
Bathylagus antarcticus,1988-11-15,-51.8383,-59.6133
Bathylagus antarcticus,1989-03-11,144,-41.3
Bathylagus antarcticus,1989-03-19,144.81667,-42.64166
Bathylagus antarcticus,1989-03-20,144.84167,-42.83333
Bathylagus antarcticus,1991-01-13,0.174,-57.111
Bathylagus antarcticus,1991-01-14,-55.452,-57.095
Bathylagus antarcticus,1991-01-14,0.174,-57.101
Bathylagus antarcticus,1991-01-15,-55.293,-57.121
Bathylagus antarcticus,1991-01-15,-55.196,-57.101
Bathylagus antarcticus,1991-01-15,-55.255,-57.077
Bathylagus antarcticus,1991-01-15,-55.307,-57.125
Bathylagus antarcticus,1991-01-22,72.0117,-66.5117
Bathylagus antarcticus,1991-01-22,72.01217,-66.51217
Bathylagus antarcticus,1991-01-22,72.012200000000007,-66.512200000000007
Bathylagus antarcticus,1991-01-22,72.01216,-66.51216
Bathylagus antarcticus,1991-01-23,72.015,-65.0467
Bathylagus antarcticus,1991-01-23,72.1183,-66.0633
Bathylagus antarcticus,1991-01-23,72.04,-65.5383
